scope,name,path,lines,decision
archive,convex,/Users/alexjordan/Documents/Developer/agent-setup/archive/convex/SKILL.md,62,leave_archived
archive,convex-dev-resend,/Users/alexjordan/Documents/Developer/agent-setup/archive/convex-dev-resend/SKILL.md,137,leave_archived
archive,convex-dev-stripe,/Users/alexjordan/Documents/Developer/agent-setup/archive/convex-dev-stripe/SKILL.md,46,leave_archived
archive,convex-migration-helper,/Users/alexjordan/Documents/Developer/agent-setup/archive/convex-migration-helper/SKILL.md,150,leave_archived
archive,convex-performance-audit,/Users/alexjordan/Documents/Developer/agent-setup/archive/convex-performance-audit/SKILL.md,143,leave_archived
archive,convex-quickstart,/Users/alexjordan/Documents/Developer/agent-setup/archive/convex-quickstart/SKILL.md,337,leave_archived
archive,convex-setup-auth,/Users/alexjordan/Documents/Developer/agent-setup/archive/convex-setup-auth/SKILL.md,150,leave_archived
archive,design-taste-frontend,/Users/alexjordan/Documents/Developer/agent-setup/archive/design-taste-frontend/SKILL.md,1206,leave_archived
archive,frontend-responsive-design-standards,/Users/alexjordan/Documents/Developer/agent-setup/archive/frontend-responsive-design-standards/SKILL.md,434,leave_archived
archive,frontier-orchestrator,/Users/alexjordan/Documents/Developer/agent-setup/archive/frontier-orchestrator/SKILL.md,219,leave_archived
archive,gpt-taste,/Users/alexjordan/Documents/Developer/agent-setup/archive/gpt-taste/SKILL.md,74,leave_archived
archive,grill-with-docs,/Users/alexjordan/Documents/Developer/agent-setup/archive/grill-with-docs/SKILL.md,7,leave_archived
archive,health,/Users/alexjordan/Documents/Developer/agent-setup/archive/health/SKILL.md,106,leave_archived
archive,high-end-visual-design,/Users/alexjordan/Documents/Developer/agent-setup/archive/high-end-visual-design/SKILL.md,98,leave_archived
archive,image-to-code,/Users/alexjordan/Documents/Developer/agent-setup/archive/image-to-code/SKILL.md,1228,leave_archived
archive,imagegen-frontend-mobile,/Users/alexjordan/Documents/Developer/agent-setup/archive/imagegen-frontend-mobile/SKILL.md,1465,leave_archived
archive,imagegen-frontend-web,/Users/alexjordan/Documents/Developer/agent-setup/archive/imagegen-frontend-web/SKILL.md,987,leave_archived
archive,minimalist-ui,/Users/alexjordan/Documents/Developer/agent-setup/archive/minimalist-ui/SKILL.md,85,leave_archived
archive,nextjs-best-practices,/Users/alexjordan/Documents/Developer/agent-setup/archive/nextjs-best-practices/SKILL.md,203,leave_archived
archive,open-orchestrator-cheap,/Users/alexjordan/Documents/Developer/agent-setup/archive/open-orchestrator-cheap/SKILL.md,202,leave_archived
archive,open-orchestrator-medium,/Users/alexjordan/Documents/Developer/agent-setup/archive/open-orchestrator-medium/SKILL.md,204,leave_archived
archive,react-email,/Users/alexjordan/Documents/Developer/agent-setup/archive/react-email/SKILL.md,297,leave_archived
archive,redesign-existing-projects,/Users/alexjordan/Documents/Developer/agent-setup/archive/redesign-existing-projects/SKILL.md,178,leave_archived
archive,review-animations,/Users/alexjordan/Documents/Developer/agent-setup/archive/review-animations/SKILL.md,112,leave_archived
archive,scroll-experience,/Users/alexjordan/Documents/Developer/agent-setup/archive/scroll-experience/SKILL.md,263,leave_archived
